"","Forest","Forest_Edge_Exterior","Forest_Edge_Interior","Grass_Far","Grass_Near","Pioneer_Far","Pioneer_Near","UMNR"
"k__Fungi.p__Ascomycota.c__Leotiomycetes.10",0,0,0,0,0,0,0,13
"k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae.5",0,0,0,0,0,0,0,13
"k__Fungi.p__Ascomycota.c__Leotiomycetes.11",0,0,0,0,0,0,0,13
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Cyphellophoraceae.g__Cyphellophora",0,0,0,13,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.6",10,0,0,0,0,0,0,2
"k__Fungi.p__Ascomycota.c__Sordariomycetes.56",5,7,0,0,0,0,0,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.35",7,0,0,0,0,5,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Savoryellales.f__Savoryellaceae.g__Neoascotaiwania.1",9,0,0,0,0,0,0,3
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.11",10,0,0,0,2,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Apiosporaceae.g__Arthrinium",4,0,8,0,0,0,0,0
"k__Fungi.p__Ascomycota.18",12,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.25",6,0,0,0,0,0,0,6
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.f__Hydnodontaceae.g__Trechispora.3",7,0,0,0,0,0,5,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Arthrodermataceae",12,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.49",12,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.65",12,0,0,0,0,0,0,0
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.17",9,0,0,0,0,0,0,3
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.19",12,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__unidentified.g__unidentified.s__unidentified.13",12,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.44",12,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.21",12,0,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.6",0,0,12,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariaceae",0,3,9,0,0,0,0,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.36",0,0,5,0,0,0,7,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreales_fam_Incertae_sedis.g__Acremonium.3",0,5,3,0,4,0,0,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.37",0,0,12,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Teichosporaceae.g__Teichospora",0,10,2,0,0,0,0,0
"k__Fungi.p__Kickxellomycota.c__GS19.o__unidentified.f__unidentified.g__unidentified.s__unidentified.7",0,0,12,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Thelonectria.2",0,0,12,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Pezizomycetes.o__Pezizales.f__Ascobolaceae.g__Ascobolus.2",0,0,12,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Microbotryomycetes.o__Microbotryomycetes_ord_Incertae_sedis.f__Chrysozymaceae",0,0,5,0,0,0,7,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.66",0,0,12,0,0,0,0,0
"k__Fungi.p__Chytridiomycota.c__Rhizophydiomycetes.o__Rhizophydiales.f__unidentified.g__unidentified.s__unidentified.4",0,0,9,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.67",0,0,12,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.68",0,12,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Talaromyces.28",0,7,0,0,0,5,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.50",0,4,0,0,0,0,8,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Myrmecridiales.f__Myrmecridiaceae.g__Myrmecridium.2",0,12,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Cyphellophoraceae.g__Cyphellophora.1",0,12,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.69",0,9,0,0,3,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.50",0,12,0,0,0,0,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS11.f__unidentified.g__unidentified.s__unidentified.20",0,4,0,0,8,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.11",0,5,0,0,0,7,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.12",0,2,0,0,6,0,4,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.g__Chaetomium.3",0,12,0,0,0,0,0,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.21",0,12,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.35",0,12,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.7",0,12,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Exophiala.9",0,12,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.51",0,3,0,0,3,0,6,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.8",0,0,0,0,0,0,12,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.g__Lepiota.3",0,0,0,0,0,0,12,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.12",0,0,0,0,0,0,12,0
"k__Fungi.p__Mucoromycota.c__Mucoromycetes.o__Mucorales.f__Mucoraceae.g__Mucor.3",0,0,0,0,0,8,4,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.g__Chlorophyllum",0,0,0,6,0,3,3,0
"k__Fungi.p__Glomeromycota.3",0,0,0,0,6,0,6,0
"k__Fungi.p__Ascomycota.c__Pezizomycotina_cls_Incertae_sedis.o__Pezizomycotina_ord_Incertae_sedis.f__Pezizomycotina_fam_Incertae_sedis.g__Ciliophora.s__unidentified.2",0,0,0,3,6,0,3,0
"k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__unidentified.g__unidentified.s__unidentified.1",0,0,0,0,0,12,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.3",0,0,0,0,0,12,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae.g__Mycena.4",0,0,0,0,5,7,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.36",0,0,0,0,0,12,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.33",0,0,0,0,0,12,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Cladophialophora.3",0,0,0,0,0,12,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.70",0,0,0,0,12,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.71",0,0,0,0,12,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Stachybotryaceae.11",0,0,0,0,12,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.g__Polycephalomyces.1",0,0,0,5,7,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Niessliaceae",0,0,0,0,12,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.34",0,0,0,0,12,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae.4",0,0,0,7,5,0,0,0
"k__Fungi.p__Kickxellomycota.c__GS19.o__unidentified.f__unidentified.g__unidentified.s__unidentified.8",0,0,0,0,0,0,0,12
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.61",0,0,0,0,0,0,0,12
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.38",0,0,0,0,0,0,0,12
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.22",0,0,0,0,0,0,0,12
"k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__unidentified.g__unidentified.s__unidentified.2",0,0,0,0,0,0,0,12
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.39",0,0,0,0,0,0,0,12
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.48",0,0,0,0,0,0,0,12
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Myxotrichaceae.g__Oidiodendron.11",0,0,0,0,0,0,0,12
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Ophiostomatales.f__Ophiostomataceae.g__Sporothrix.3",0,0,0,0,0,0,0,12
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Coniochaetales.f__Coniochaetaceae.g__Coniochaeta.4",0,0,0,0,0,0,0,12
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.9",0,0,0,12,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Microbotryomycetes.o__Microbotryomycetes_ord_Incertae_sedis.f__Microbotryomycetes_fam_Incertae_sedis.g__Colacogloea",11,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Glomerellaceae.g__Colletotrichum",6,0,5,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Teichosporaceae.g__Teichospora.1",11,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__unidentified.g__unidentified.s__unidentified.7",11,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.19",11,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Laboulbeniomycetes.o__Pyxidiophorales.f__unidentified.g__unidentified.s__unidentified.1",6,0,5,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.12",7,0,4,0,0,0,0,0
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.18",5,0,0,0,0,2,4,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Cladosporiaceae",11,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleosporaceae.g__Alternaria.1",7,0,0,0,4,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.g__unidentified.s__unidentified.12",11,0,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Bolbitiaceae.g__Conocybe.3",11,0,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Pucciniomycetes.o__Pucciniales.f__unidentified.g__unidentified.s__unidentified",11,0,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.1",5,0,0,0,0,0,0,6
"k__Fungi.p__Ascomycota.c__Lecanoromycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.3",7,0,0,0,0,0,0,4
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.35",11,0,0,0,0,0,0,0
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.19",9,0,0,0,0,0,0,2
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.22",11,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Hypomyces.s__Hypomyces_triseptatus.1",11,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.g__Biscogniauxia.s__unidentified.1",5,0,0,0,0,0,6,0
"k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae.g__Arthrobotrys.7",11,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Hyaloscyphaceae.g__Lachnum.s__Lachnum_fusiforme",3,0,0,0,0,0,0,8
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Microascales.f__Microascaceae.g__Microascus.2",2,0,0,0,0,0,9,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Arthrodermataceae.1",0,0,3,0,0,5,3,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Onygenaceae.g__Auxarthron.4",0,0,4,0,0,0,0,7
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Entolomataceae.g__Entoloma.6",0,3,5,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.72",0,0,11,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.45",0,0,4,0,0,7,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.36",0,3,8,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Atractiellomycetes.o__Atractiellales.f__unidentified.g__unidentified.s__unidentified.3",0,0,11,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__unidentified.g__unidentified.s__unidentified",0,6,3,0,0,0,2,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.g__Leucoagaricus.2",0,0,11,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.1",0,0,11,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.g__Tolypocladium.5",0,0,11,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.8",0,0,11,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariales_fam_Incertae_sedis.g__Conlarium.s__unidentified.3",0,0,6,0,0,0,0,5
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.9",0,0,6,0,0,0,5,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.14",0,0,11,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Botryosphaeriaceae.g__Lasiodiplodia.1",0,11,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.15",0,11,0,0,0,0,0,0
"k__Fungi.p__Entorrhizomycota.c__Entorrhizomycetes.o__Entorrhizales.f__Entorrhizaceae.g__Entorrhiza.s__unidentified.1",0,6,0,0,5,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.73",0,11,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.28",0,11,0,0,0,0,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Gigasporales.f__Gigasporaceae.g__Cetraspora",0,6,0,5,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Coniochaetales.f__Coniochaetaceae.g__Coniochaeta.5",0,11,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.46",0,6,0,0,5,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Sebacinales.f__unidentified.g__unidentified.s__unidentified.1",0,0,0,0,0,0,11,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.52",0,0,0,0,0,0,11,0
"k__Fungi.p__Ascomycota.c__Pezizomycetes.o__Pezizales.f__Pyronemataceae.g__Pulvinula.s__unidentified",0,0,0,0,0,0,11,0
"k__Fungi.p__Chytridiomycota.c__Rhizophydiomycetes.o__Rhizophydiales.f__unidentified.g__unidentified.s__unidentified.5",0,0,0,0,0,0,11,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.9",0,0,0,0,0,0,11,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.10",0,0,0,0,0,0,11,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.40",0,0,0,0,5,0,6,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.12",0,0,0,0,0,0,11,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Sebacinales.f__Serendipitaceae.g__Serendipita.s__unidentified",0,0,0,0,0,0,11,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.f__Hydnodontaceae.g__Trechispora.4",0,0,0,0,0,6,5,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.23",0,0,0,0,0,0,11,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.24",0,0,0,0,0,0,11,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Cordycipitaceae.4",0,0,0,0,0,0,11,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae.5",0,0,0,0,0,0,11,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Bolbitiaceae.g__Conocybe.4",0,0,0,0,0,0,11,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.74",0,0,0,0,0,0,11,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Tubeufiales.f__Tubeufiaceae.2",0,0,0,0,0,0,11,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.53",0,0,0,0,3,0,8,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymosphaeriaceae.11",0,0,0,0,0,0,4,7
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.1",0,0,0,0,0,0,11,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleosporales_fam_Incertae_sedis.g__Pseudorobillarda",0,0,0,0,0,11,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.54",0,0,0,0,0,11,0,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.41",0,0,0,0,0,11,0,0
"k__Fungi.p__Glomeromycota.c__Archaeosporomycetes.o__Archaeosporales.f__Archaeosporaceae.g__Archaeospora.s__unidentified",0,0,0,0,0,11,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.20",0,0,0,0,0,11,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Botryosphaeriaceae.g__Dothiorella",0,0,0,0,0,11,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.4",0,0,0,0,0,11,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.55",0,0,0,0,0,11,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.37",0,0,0,0,0,11,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.26",0,0,0,0,0,11,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Gigasporales.f__Gigasporaceae.1",0,0,0,0,0,11,0,0
"k__Fungi.p__Mucoromycota.c__Mucoromycetes.o__Mucorales.f__Cunninghamellaceae.g__Gongronella.5",0,0,0,0,0,11,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Auriculariales.f__unidentified.g__unidentified.s__unidentified.8",0,0,0,0,11,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.51",0,0,0,0,11,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.47",0,0,0,0,11,0,0,0
"k__Fungi.p__Chytridiomycota.c__Rhizophlyctidomycetes.o__Rhizophlyctidales.f__Rhizophlyctidaceae.g__Rhizophlyctis.s__Rhizophlyctis_rosea.1",0,0,0,0,11,0,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__Kamienskia.1",0,0,0,7,4,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.g__unidentified.s__unidentified.13",0,0,0,0,11,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Cephalothecaceae.1",0,0,0,0,11,0,0,0
"k__Fungi.p__Kickxellomycota.c__Kickxellomycetes.o__Kickxellales.f__unidentified.g__unidentified.s__unidentified.6",0,0,0,0,11,0,0,0
"k__Fungi.p__Ascomycota.c__Lecanoromycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.4",0,0,0,0,0,0,0,11
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Gigasporales.f__Gigasporaceae.2",0,0,0,0,0,0,0,11
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Strophariaceae.g__Galerina.3",0,0,0,0,0,0,0,11
"k__Fungi.p__Kickxellomycota.c__Kickxellomycetes.o__Kickxellales.f__Kickxellaceae.g__Ramicandelaber.s__unidentified.16",0,0,0,0,0,0,0,11
"k__Fungi.p__Ascomycota.c__Pezizomycetes.o__Pezizales.f__Sarcosomataceae.g__Urnula",0,0,0,0,0,0,0,11
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.23",0,0,0,0,0,0,0,11
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.52",0,0,0,0,0,0,0,11
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.48",0,0,0,0,0,0,0,11
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.g__Clavaria.2",0,0,0,0,0,0,0,11
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Dothideomycetes_ord_Incertae_sedis.f__Eremomycetaceae.g__Arthrographis",0,0,0,0,0,0,0,11
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.62",0,0,0,0,0,0,0,11
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS11.f__unidentified.g__unidentified.s__unidentified.21",0,0,0,0,0,0,0,11
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__unidentified.g__unidentified.s__unidentified.2",0,0,0,0,0,0,0,11
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.13",0,0,0,0,0,0,0,11
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.25",0,0,0,0,0,0,0,11
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.27",0,0,0,11,0,0,0,0
"k__Fungi.p__Glomeromycota.c__Archaeosporomycetes.o__Archaeosporales.f__Archaeosporaceae.g__unidentified.s__unidentified.1",0,0,0,11,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Talaromyces.29",0,0,0,11,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Bionectriaceae.g__Clonostachys.12",0,0,0,11,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Talaromyces.30",0,0,0,11,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Coniochaetales.15",0,0,0,11,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Volutella.3",0,0,0,11,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.53",0,0,0,11,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Pluteaceae.g__Pluteus.4",10,0,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Geastrales.f__Geastraceae.g__Geastrum.5",4,0,6,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.28",10,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.37",10,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.15",6,0,0,0,0,0,4,0
"k__Fungi.9",2,0,0,3,5,0,0,0
"k__Fungi.p__Kickxellomycota.c__Kickxellomycetes.o__Kickxellales.f__Kickxellaceae.g__Ramicandelaber.s__unidentified.17",10,0,0,0,0,0,0,0
